row,id,date,query,handle,tweet
816217,1551363926,Sat Apr 18 08:51:43 PDT 2009,NO_QUERY,kelliekano,@Dragoncade I see you're delivering your daily dose of sunshine to the twitterverse!  Happy Saturday to ya...
816220,1551364021,Sat Apr 18 08:51:44 PDT 2009,NO_QUERY,reesypants,"@reedoh Hello lovely! Wow it's great to hear from you, and glad you're well! I'm still figuring out this twitter thang doh  x"
816226,1551364223,Sat Apr 18 08:51:46 PDT 2009,NO_QUERY,IsJonas,"A big mean asshole messed up my twitter.. so this is my new account.   also, I'm so bitter you's think I'd eaten lemons. rawr!"
816284,1551393580,Sat Apr 18 08:56:33 PDT 2009,NO_QUERY,KristinNewman,twitter...jitter...all the same
816296,1551393991,Sat Apr 18 08:56:37 PDT 2009,NO_QUERY,mikemonty,"just updated his twitter profile's design  Check it out, let me know your thoughts!"
816323,1551394894,Sat Apr 18 08:56:44 PDT 2009,NO_QUERY,Anonymousboy03,@serenajwilliams you can find K. Rowland on http://twitter.com/KELLY__ROWLAND!!!  save you the trouble of 'finding a person' HAHA
816581,1551489973,Sat Apr 18 09:11:38 PDT 2009,NO_QUERY,KellyxWalkerx,good morning twitter people. I think I'm gonna go fix me some pizza. That sounds real good to me right now!
816647,1551492675,Sat Apr 18 09:12:05 PDT 2009,NO_QUERY,h_2o,@jgreenler thanks for the feedback. I think having dedicated myself to twitter for a couple mths now I grew into a more approp name
816666,1551520932,Sat Apr 18 09:16:30 PDT 2009,NO_QUERY,kenoad,"@DevCg they use ubuntu how odd, anyways you seem to have abandoned twitter as with most other poeple i have found"
816667,1551521001,Sat Apr 18 09:16:30 PDT 2009,NO_QUERY,BeebeONE,"@DustinJMcClure I'm almost as addicted to FB as I am twitter, I have fam and my best friend on there"
816692,1551522129,Sat Apr 18 09:16:43 PDT 2009,NO_QUERY,bbirdiee,sign twitter
816720,1551523216,Sat Apr 18 09:16:52 PDT 2009,NO_QUERY,patricksstuff,"wondering why all my friend twitter in english   they are geman, so why... whatever"
816765,1551553870,Sat Apr 18 09:21:41 PDT 2009,NO_QUERY,jfermi1,@kingsthings Can you convince some of your non-twittered CNN colleagues to follow your example?  Blitzer needs a twitter!
816787,1551554597,Sat Apr 18 09:21:49 PDT 2009,NO_QUERY,personar,goodnight tweeples. time for me to get some shut-eye. thank you all for another great day here at twitter. see you tomorrow.
816790,1551554670,Sat Apr 18 09:21:50 PDT 2009,NO_QUERY,namooshie,twittering off---night everyone! :] good morning to some and have a great day!
816820,1551555539,Sat Apr 18 09:21:58 PDT 2009,NO_QUERY,hollyhilgers,thinks @julzdoz is addicted to twitter lol. the weather is gorgeous today.
816860,1551584197,Sat Apr 18 09:26:34 PDT 2009,NO_QUERY,PaulaJeans,"@naughtyandnice  Check out this link, it will explain it better than I can  http://twitter.com/followfriday"
816870,1551584485,Sat Apr 18 09:26:37 PDT 2009,NO_QUERY,AbdulRButt,Design your twitter background free  http://freetwitterdesigner.com
816883,1551585128,Sat Apr 18 09:26:43 PDT 2009,NO_QUERY,karachristyne,im learning how to use twitter  follow me please!!
816884,1551585134,Sat Apr 18 09:26:44 PDT 2009,NO_QUERY,jaszygyrl,"Never mind that last post, i'm still quite new to the ways of the twitter.  i'll be better, i promise."
816936,1551587539,Sat Apr 18 09:27:07 PDT 2009,NO_QUERY,jeanmadson,"Teste Gtalk + Plurk + Twitter.  O que sai no Gtalk, sai no plurk e vai pro twitter.  http://plurk.com/p/ovhpg"
816949,1551616867,Sat Apr 18 09:31:41 PDT 2009,NO_QUERY,reallyNotATwit,@beautifullady09 Good luck! I hear twitter is addictive so beware
817058,1551648953,Sat Apr 18 09:36:45 PDT 2009,NO_QUERY,davidbeking,http://tweetstats.com is pretty cool! I just found it!  Goodmorning twitterland! hello brooklyn!!!
817080,1551649681,Sat Apr 18 09:36:52 PDT 2009,NO_QUERY,kizzermania,just got my twitter
817113,1551650727,Sat Apr 18 09:37:03 PDT 2009,NO_QUERY,blueayes,I'm all-a-twitter.....it's Matt's birthday today!
817150,1551680574,Sat Apr 18 09:41:46 PDT 2009,NO_QUERY,lovekashhh,still on kash's twitter  lol..shes going to be maddd
817325,1551714874,Sat Apr 18 09:47:08 PDT 2009,NO_QUERY,theroughguide,Mark has added a new twitter app to his phone and thinks it's rather great
817348,1551744777,Sat Apr 18 09:51:47 PDT 2009,NO_QUERY,brianbutt,Wondering who else actually used twitter that I know.  And enjoying the day with no more exams left
817390,1551746182,Sat Apr 18 09:52:01 PDT 2009,NO_QUERY,bitchsmack,"@ianmax69 you got twitter!@ yeeee  ..i'm off to dinner twitterrr later kk ,bye"
817545,1551805885,Sat Apr 18 10:01:15 PDT 2009,NO_QUERY,OliviaBusta,Wow woke up to 113 new twitter updates. You guys do work late at night on here. Off to Starbs. Hoping to score some 7's at the rack
817592,1551807541,Sat Apr 18 10:01:29 PDT 2009,NO_QUERY,docrob,Good morning twitterland. The sun is out in Chicago.. heading to the green market.. maybe a bike ride by the lake.. All the best to you
817604,1551807910,Sat Apr 18 10:01:33 PDT 2009,NO_QUERY,nicoladen,@jamieplanetx jaaamiiieeeee!  hows it goooin? do u just live on twitter btw?!
817652,1551843340,Sat Apr 18 10:06:59 PDT 2009,NO_QUERY,engeedays,"@mozzer81 You started twittering, yay for you"
817671,1551843873,Sat Apr 18 10:07:05 PDT 2009,NO_QUERY,teachied,losing my twitter virginity
817689,1551844434,Sat Apr 18 10:07:08 PDT 2009,NO_QUERY,tallulahbean,"@Oprah u got me twittering too.  If Oprah is doing it, I need to also!"
817831,1551907032,Sat Apr 18 10:16:56 PDT 2009,NO_QUERY,JLu1295,"@longpshorn dude, twitter is awesome! I get alot of replies from celebs, they're cool as hell and down to earth! they're just people too"
817891,1551908784,Sat Apr 18 10:17:12 PDT 2009,NO_QUERY,fariaah,"just got this twitter thing,"
817908,1551909234,Sat Apr 18 10:17:17 PDT 2009,NO_QUERY,MissJarnay,checkin out people some poeple on twitter. this is soo cool
817917,1551938750,Sat Apr 18 10:21:54 PDT 2009,NO_QUERY,anclag,@ThirdSectorLab It's obvious...conduct a twitter poll on what to name it!
817979,1551940733,Sat Apr 18 10:22:12 PDT 2009,NO_QUERY,jaye,Blocked a bunch of stalkers on twitter.  Feel a little less violated now!
817994,1551941105,Sat Apr 18 10:22:15 PDT 2009,NO_QUERY,joebarone,"@dennyabraham I wouldn't want other people to suffer, that would be like -100 karma points. Besides, my twitter is a &quot;no-meme-zone&quot;"
818017,1551970570,Sat Apr 18 10:26:54 PDT 2009,NO_QUERY,beyondxxflowers,@eiregrl123 yay now you have twitter also! haha im starting a trend. haha lov you katie.
818170,1552004087,Sat Apr 18 10:32:09 PDT 2009,NO_QUERY,Muhammad_Adel,exploring twitter
818214,1552034770,Sat Apr 18 10:36:59 PDT 2009,NO_QUERY,yaseminx3,"@smiles1997 i'd love to, but i cant, cause im on twitter with my iphone  &lt;3"
818232,1552035317,Sat Apr 18 10:37:06 PDT 2009,NO_QUERY,Alison_face,@AlisonDowns you're the reason I can't have my full name as my twitter name.I am the reason you can't have your name as a .com or @gmail.
818246,1552035816,Sat Apr 18 10:37:09 PDT 2009,NO_QUERY,maynaseric,@jshe haha sure  wonder when can we invent the food teleport thing over the net. lolz #twitterfood
818252,1552036018,Sat Apr 18 10:37:10 PDT 2009,NO_QUERY,holleycarden,just joined twitter...trying to find people now
818336,1552067496,Sat Apr 18 10:42:07 PDT 2009,NO_QUERY,emblebum,signing up for twitter
818353,1552068017,Sat Apr 18 10:42:12 PDT 2009,NO_QUERY,zigthiessen,I love you twitter!  looks like the ACDC disaster may have been diverted! Thank you tweeters!!!!!
818361,1552068330,Sat Apr 18 10:42:15 PDT 2009,NO_QUERY,DallasGuyZ,"@ItsRaul Yeah, @aplusk (The Kutch) twitters a lot. I think it's cool though."
818396,1552069452,Sat Apr 18 10:42:26 PDT 2009,NO_QUERY,DSandifer,everyone needs to follow http://twitter.com/bobsandifer
818400,1552069582,Sat Apr 18 10:42:28 PDT 2009,NO_QUERY,Sheamus,@beezan I posted about it earlier: http://twittercism.com/more-mikeyy/
818538,1553113167,Sat Apr 18 13:24:28 PDT 2009,NO_QUERY,LaceySueM,@JasonM04 Hey darlin! I have an iphone and all you do is upload the app. In the app store search twitter. I think the best one is tweetie
818616,1553143922,Sat Apr 18 13:29:19 PDT 2009,NO_QUERY,angelus78gak,@pcnlove118 =D welcome to the twitterverse
818658,1553145360,Sat Apr 18 13:29:33 PDT 2009,NO_QUERY,KatiAsbury,@robstereo so i'm kinda ecstatic you have a twitter account. i was literally JUST jamming out to heartbeat yesterday with my friends.
818664,1553145704,Sat Apr 18 13:29:37 PDT 2009,NO_QUERY,imac27,figuring out how to work with twitter
818740,1553177888,Sat Apr 18 13:34:34 PDT 2009,NO_QUERY,slohappy,@aplusk Your awesomeness definitely has not changed since meeting you years back  It's great to follow you on twitter!!
818768,1553178762,Sat Apr 18 13:34:44 PDT 2009,NO_QUERY,Sarah_Davey,"@tommcfly twitter hasn't been the same without you today Tom. I've missed your tweets,tell us something interesting to make up for it"
818843,1553209541,Sat Apr 18 13:39:35 PDT 2009,NO_QUERY,_appleshampoo,"@tommcfly all the little twitters on Twitter Street, love to hear Tom go tweet, tweet, tweet! ?    ok, i'm fool HAHA"
818844,1553209549,Sat Apr 18 13:39:36 PDT 2009,NO_QUERY,garlin73,is really new on twitter...
818870,1553210482,Sat Apr 18 13:39:43 PDT 2009,NO_QUERY,mohdrafie,Now #Malaysia PM is on twitter. Should I follow him?
818981,1553242456,Sat Apr 18 13:44:47 PDT 2009,NO_QUERY,BenDigital,@BeccaDuffy @Sammiiboii Hello new twitters
818982,1553242469,Sat Apr 18 13:44:48 PDT 2009,NO_QUERY,briana9,@bailann I &lt;3 your twitter profile pic  so glam!
819034,1553272060,Sat Apr 18 13:49:33 PDT 2009,NO_QUERY,Luxias,@MayakashiNinja lol yeah. I have a few famous people on my twitter. Few cute people too.
